Date,Daily Volume
2022/8/17 0:00,9735.427047
2022/8/18 0:00,8706.332861
2022/8/19 0:00,9262.404282
2022/8/20 0:00,9001.547869
2022/8/21 0:00,8912.94796
2022/8/22 0:00,10761.57702
2022/8/23 0:00,9780.405289
2022/8/24 0:00,8610.228606
2022/8/25 0:00,10799.78411
2022/8/26 0:00,7868.408342
2022/8/27 0:00,7289.77472
2022/8/28 0:00,8192.991374
2022/8/29 0:00,11216.60407
2022/8/30 0:00,11251.98629
2022/8/31 0:00,10416.63994
2022/9/1 0:00,7552.174058
2022/9/2 0:00,7444.189746
2022/9/3 0:00,6805.868558
2022/9/4 0:00,6781.52514
2022/9/5 0:00,8161.302885
2022/9/6 0:00,7482.808922
2022/9/7 0:00,9103.710268
2022/9/8 0:00,9971.924432
2022/9/9 0:00,7417.727949
2022/9/10 0:00,6257.729296
2022/9/11 0:00,6021.925755
2022/9/12 0:00,6771.932128
2022/9/13 0:00,7471.206105
2022/9/14 0:00,6594.470611
2022/9/15 0:00,6342.868299
2022/9/16 0:00,9908.409612
2022/9/17 0:00,7772.615745
2022/9/18 0:00,7916.481861
2022/9/19 0:00,8813.82549
2022/9/20 0:00,9697.567897
2022/9/21 0:00,8894.465805
2022/9/22 0:00,9552.756655
2022/9/23 0:00,8347.5874
2022/9/24 0:00,7365.816081
2022/9/25 0:00,7443.389799
2022/9/26 0:00,7608.961159
2022/9/27 0:00,8175.964821
2022/9/28 0:00,9656.984874
2022/9/29 0:00,9001.760234
2022/9/30 0:00,8630.756656
2022/10/1 0:00,8730.639889
2022/10/2 0:00,8930.781286
2022/10/3 0:00,9900.230907
2022/10/4 0:00,8486.710674
2022/10/5 0:00,8496.247849
2022/10/6 0:00,9573.915333
2022/10/7 0:00,9834.479735
2022/10/8 0:00,7999.869832
2022/10/9 0:00,6413.083786
2022/10/10 0:00,7122.262887
2022/10/11 0:00,7508.625571
2022/10/12 0:00,7137.07815
2022/10/13 0:00,10010.22498
2022/10/14 0:00,7831.896637
2022/10/15 0:00,7662.907072
2022/10/16 0:00,6396.526803
2022/10/17 0:00,8578.591902
2022/10/18 0:00,7204.026679
2022/10/19 0:00,7436.759831
2022/10/20 0:00,7522.454733
2022/10/21 0:00,6694.694045
2022/10/22 0:00,5733.904496
2022/10/23 0:00,5418.564013
2022/10/24 0:00,5617.495022
2022/10/25 0:00,6531.969311
2022/10/26 0:00,6374.748243
2022/10/27 0:00,6620.580662
2022/10/28 0:00,6812.619787
2022/10/29 0:00,4643.526633
2022/10/30 0:00,5481.465799
2022/10/31 0:00,12275.28946
2022/11/1 0:00,10032.70358
2022/11/2 0:00,8660.243888
2022/11/3 0:00,6843.331044
2022/11/4 0:00,6108.254925
2022/11/5 0:00,5388.206225
2022/11/6 0:00,5050.474846
2022/11/7 0:00,7568.87603
2022/11/8 0:00,6046.773651
2022/11/9 0:00,8195.154482
2022/11/10 0:00,6902.876607
2022/11/11 0:00,7166.813926
2022/11/12 0:00,5531.843668
2022/11/13 0:00,4911.753526
2022/11/14 0:00,6044.093309
2022/11/15 0:00,6354.620993
